Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
EASTGATE SUNOCO Sunoco,Sunoco,12 EASTGATE,Monessen,PA,4.199,02APR2026,,Weekday,Urban,15072
PAR MAR FOOD STORE #68 Par Mar Food Store,Par Mar Food Store,1706 GRAND BLVD,Monessen,PA,4.299,02APR2026,5.999,Weekday,Urban,15072
PAR MAR FOOD STORE #78 Par Mar Food Store,Par Mar Food Store,1000 DONNER AVE,Monessen,PA,4.299,02APR2026,,Weekday,Urban,15072
A PLUS MINI MARKET A Plus,A Plus,15 E GERMANTOWN PIKE,Norristown,PA,3.999,02APR2026,,Weekday,Urban,19422
Wawa #8079 Wawa,Wawa,14 E GERMANTOWN PIKE,Norristown,PA,4.199,02APR2026,5.999,Weekday,Urban,19422
TURKEY HILL MINIT MARKET #950276 Turkey Hill,Turkey Hill,1624 MAIN ST,Olyphant,PA,4.199,02APR2026,,Weekday,Urban,18403
CITGO CITGO,Citgo,439 MAIN ST,Peckville,PA,3.999,02APR2026,5.899,Weekday,Urban,18403
TOP STAR #125 Top Star,Top Star,1530 POTTSTOWN AVE,Pennsburg,PA,4.199,02APR2026,,Weekday,Urban,18076
Wawa #8178 Wawa,Wawa,2100 NORTHGATE BLVD,Pennsburg,PA,4.199,02APR2026,5.999,Weekday,Urban,18076
WEIS MARKETS Gas N Go (Weis),Weis,498 POTTSTOWN AVE,Pennsburg,PA,4.199,02APR2026,,Weekday,Urban,18076
Gas Star Unbranded,Unbranded,500 N 5TH ST,Perkasie,PA,3.919,02APR2026,,Weekday,Urban,18944
Gas Star Unbranded,Unbranded,500 N 5TH ST,Perkasie,PA,3.919,02APR2026,,Weekday,Urban,18944
Gas Star Unbranded,Unbranded,500 N 5TH ST,Perkasie,PA,3.919,02APR2026,,Weekday,Urban,18944
